name_am,name_en,coordinates
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.209585149999995, 44.49857435)"
Վահրամ Փափազյան փողոց 2-րդ նրբանցք,Vahram Papazyan poghots 2-rd nrbantsk,"(40.2100353, 44.4989464)"
Վահրամ Փափազյան փողոց 2-րդ նրբանցք,Vahram Papazyan poghots 2-rd nrbantsk,"(40.209687907620676, 44.49774788938026)"
Պռոշյան փողոց,Prhoshyan poghots,"(40.19219245, 44.5044544)"
Մարշալ Բաղրամյան պողոտա,Marshal Baghramyan poghota,"(40.19194689069822, 44.50603348930943)"
Պռոշյան փողոց,Prhoshyan poghots,"(40.19160748438154, 44.504337804672254)"
Հովհաննես Թևոսյան փողոց,Hovhannes Tewosyan poghots,"(40.189842, 44.588920349999995)"
Բագրևանդի փողոց,Bagrewandi poghots,"(40.19006616714913, 44.5888078179551)"
Քոչարյան փողոց,Kocharyan poghots,"(40.1905029, 44.56717515)"
Հայկ Գյուլիքևխյան փողոց,Hayk Gyowlikewkhyan poghots,"(40.1901200973952, 44.56767632462467)"
Գայի պողոտա,Gayi poghota,"(40.190976192401365, 44.56766267869721)"
Հանրապետության փողոց,Hanrapetowtyan poghots,"(40.177431841441944, 44.517821617617976)"
Վարդանանց փողոց,Vardanants poghots,"(40.177015330930764, 44.519048808509375)"
Վարդանանց փողոց,Vardanants poghots,"(40.17819905968647, 44.51815176797503)"
Նար-Դոսի փողոց,Nar-Dosi poghots,"(40.16713265, 44.521708950000004)"
Չարենցի փողոց,Charentsi poghots,"(40.16744138895424, 44.52284553247132)"
Վարդանանց փողոց,Vardanants poghots,"(40.16794948042602, 44.52226042475659)"
Հրազդան (Hrazdan),Hrazdan (Hrazdan),"(40.22420218683657, 44.51645171673477)"
Հրազդան,Hrazdan,"(40.20417518771022, 44.487831186892926)"
Հրազդան,Hrazdan,"(40.227609716951434, 44.512942299459574)"
Հրազդան (Hrazdan),Hrazdan (Hrazdan),"(40.22420218683657, 44.51645171673477)"
Օրբելի եղբայրների փողոց,Orbeli eghbayrneri poghots,"(40.19293930149094, 44.49141207406966)"
Կիևյան փողոց,Kiewyan poghots,"(40.19502146089586, 44.48842560030741)"
Վիկտոր Համբարձումյանի փողոց,Viktor Hambardzowmyani poghots,"(40.19855807840442, 44.50384769146143)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.19902755949812, 44.50581556403766)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.19965973946209, 44.50537458333655)"
Արամ Խաչատրյանի փողոց,Aram Khachatryani poghots,"(40.20489739999999, 44.4972968)"
Արամ Խաչատրյանի փողոց,Aram Khachatryani poghots,"(40.20415732497998, 44.49546867360884)"
Վաղարշ Վաղարշյան փողոց,Vagharsh Vagharshyan poghots,"(40.203858779099114, 44.497928566324596)"
Շինարարների փողոց,Shinararneri poghots,"(40.19312, 44.47362225)"
Արզումանյան փողոց,Arzowmanyan poghots,"(40.19329216792591, 44.471820976476515)"
Արզումանյան փողոց,Arzowmanyan poghots,"(40.192925048638024, 44.47609389115271)"
Շինարարների փողոց,Shinararneri poghots,"(40.194689727889276, 44.473821377433055)"
Արզումանյան փողոց,Arzowmanyan poghots,"(40.192925048638024, 44.47609389115271)"
Հալաբյան փողոց,Halabyan poghots,"(40.1913012967552, 44.47901360553009)"
Թումանյան փողոց,Towmanyan poghots,"(40.18203709652422, 44.5180200101794)"
Աբովյան փողոց,Abovyan poghots,"(40.18161375666288, 44.51642634119875)"
Թումանյան փողոց,Towmanyan poghots,"(40.18309475850119, 44.51653142968794)"
Տերյան փողոց,Teryan poghots,"(40.18435826955918, 44.5163741725556)"
Թումանյան փողոց,Towmanyan poghots,"(40.1839838054809, 44.515268313581934)"
Թումանյան փողոց,Towmanyan poghots,"(40.18309475850119, 44.51653142968794)"
Թումանյան փողոց,Towmanyan poghots,"(40.18549935, 44.51316295)"
Մեսրոպ Մաշտոցի պողոտա,Mesrop Mashtotsi poghota,"(40.1861605885798, 44.514048989347714)"
Զավարյան փողոց,Zavaryan poghots,"(40.16673885182096, 44.5139565495713)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16624129129846, 44.51488777979646)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16737044309626, 44.51440168395855)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16376215, 44.51588475)"
Քրիստափորի փողոց,Kristapori poghots,"(40.16366263062315, 44.515757328534164)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16317515337064, 44.51612824715589)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16230755, 44.5164904)"
Ծատուրյան փողոց,Tsatowryan poghots,"(40.16268765158444, 44.51658127915671)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16317515337064, 44.51612824715589)"
Քաջազնունի փողոց,Kajaznowni poghots,"(40.17136765837956, 44.519038948459674)"
Երվանդ Քոչարի փողոց,Ervand Kochari poghots,"(40.17296185385123, 44.52003469603711)"
Երվանդ Քոչարի փողոց,Ervand Kochari poghots,"(40.17138305519748, 44.51779488687249)"
Քրիստափորի փողոց,Kristapori poghots,"(40.1632947, 44.504167949999996)"
Արշակունյաց պողոտա,Arshakownyats poghota,"(40.16059863628872, 44.50321747927312)"
Սևանի նրբանցք,Sewani nrbantsk,"(40.151753681676, 44.50240832280047)"
Սևանի փողոց,Sewani poghots,"(40.15118439737437, 44.503553435952455)"
Սևանի փողոց,Sewani poghots,"(40.15364953086494, 44.50594775335411)"
Սևանի փողոց,Sewani poghots,"(40.1573109, 44.50617055)"
Արշակունյաց պողոտա 3-րդ նրբանցք,Arshakownyats poghota 3-rd nrbantsk,"(40.15736991645861, 44.5041265481387)"
Սևանի փողոց,Sewani poghots,"(40.15364953086494, 44.50594775335411)"
Արցախի պողոտա,Artsakhi poghota,"(40.1504564, 44.5100301)"
Գարեգին Նժդեհի փողոց,Garegin Nzhdehi poghots,"(40.150346813084205, 44.50671851403171)"
Գաջեգործների 1-ին փողոց,Gajegortsneri 1-in poghots,"(40.151864966599646, 44.53326478897782)"
Դավիթ Բեկի փողոց,Davit Beki poghots,"(40.15125938780155, 44.53232274607665)"
Գաջեգործների 3-րդ փողոց,Gajegortsneri 3-rd poghots,"(40.15090315, 44.53080085)"
Գաջեգործների 3-րդ փողոց,Gajegortsneri 3-rd poghots,"(40.15139295554445, 44.53037830134266)"
Դավիթ Բեկի փողոց,Davit Beki poghots,"(40.15086164367308, 44.530217937994884)"
Արտեմ Միկոյան փողոց,Artem Mikoyan poghots,"(40.18241572647546, 44.56891661572192)"
Մուշեղ Գալշոյան փողոց,Mowshegh Galshoyan poghots,"(40.182984781946104, 44.571380475029315)"
Արտեմ Միկոյան փողոց,Artem Mikoyan poghots,"(40.181546065390215, 44.57548166854046)"
Մուշեղ Գալշոյան փողոց,Mowshegh Galshoyan poghots,"(40.1809137760303, 44.570902922038755)"
Հովհաննիսյան փողոց,Hovhannisyan poghots,"(40.187315999999996, 44.58217085)"
Աշոտ Հովհաննիսյան փողոց,Ashot Hovhannisyan poghots,"(40.18964811721569, 44.57996876030093)"
Հովհաննես Թևոսյան փողոց,Hovhannes Tewosyan poghots,"(40.184651836038135, 44.57488978574241)"
Վիլնյուսի փողոց,Vilnyowsi poghots,"(40.169997451566246, 44.563480131927875)"
Մինսկի փողոց,Minski poghots,"(40.17832245618612, 44.57721064449396)"
Մինսկի փողոց,Minski poghots,"(40.17640392318704, 44.57350387851843)"
Բելինսկու փողոց,Belinskow poghots,"(40.1546391, 44.5188736)"
Սասունցի Դավիթ փողոց,Sasowntsi Davit poghots,"(40.1547274, 44.5183122)"
Բելինսկու փողոց,Belinskow poghots,"(40.15566804407939, 44.518950927855556)"
Բելինսկու փողոց,Belinskow poghots,"(40.15675134999999, 44.51902095)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.1579832802718, 44.517869858956544)"
Բելինսկու փողոց,Belinskow poghots,"(40.15675134999999, 44.51902095)"
Միչուրինի փողոց,Michowrini poghots,"(40.15667334771023, 44.51845524401203)"
Բելինսկու փողոց,Belinskow poghots,"(40.15566804407939, 44.518950927855556)"
Միչուրինի փողոց,Michowrini poghots,"(40.15693265, 44.5140402)"
Միչուրինի փողոց,Michowrini poghots,"(40.15686575, 44.515133500000005)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.15592696453799, 44.51449599539621)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.15846852348464, 44.51480890130574)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.15846852348464, 44.51480890130574)"
Գլինկայի փողոց,Glinkayi poghots,"(40.16010279673731, 44.514414266909284)"
Գլինկայի փողոց,Glinkayi poghots,"(40.15994970761542, 44.51521054430624)"
Գլինկայի փողոց,Glinkayi poghots,"(40.15969743606135, 44.51643586741539)"
Գլինկայի փողոց,Glinkayi poghots,"(40.15994970761542, 44.51521054430624)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.15490055, 44.514404400000004)"
Բուռնազյան փողոց,Bowrhnazyan poghots,"(40.15592696453799, 44.51449599539621)"
Սասունցի Դավիթ փողոց,Sasowntsi Davit poghots,"(40.15498883046183, 44.51387188374114)"
Միչուրինի փողոց,Michowrini poghots,"(40.1568002204255, 44.516245598281884)"
Միչուրինի փողոց,Michowrini poghots,"(40.156736210861844, 44.51734703525897)"
Մուրացանի փողոց,Mowratsani poghots,"(40.15579860247437, 44.51672012239402)"
Մուրացանի փողոց,Mowratsani poghots,"(40.15477195, 44.51662705)"
Սասունցի Դավիթ փողոց,Sasowntsi Davit poghots,"(40.15486055, 44.51608605)"
Մուրացանի փողոց,Mowratsani poghots,"(40.15579860247437, 44.51672012239402)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.14416645, 44.5162659)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.144220149999995, 44.515240399999996)"
Մուրացանի փողոց,Mowratsani poghots,"(40.14327647195049, 44.51563059315319)"
Մուրացանի փողոց,Mowratsani poghots,"(40.1456837278384, 44.51586591451317)"
Աթոյան փողոց,Atoyan poghots,"(40.14215, 44.5177671)"
Էրեբունու փողոց,Erebownow poghots,"(40.14226554176941, 44.51719918793863)"
Աթոյան փողոց,Atoyan poghots,"(40.143156901946895, 44.51785687797419)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.1441084, 44.5173697)"
Աթոյան փողոց,Atoyan poghots,"(40.1454566, 44.518062)"
Աթոյան փողոց,Atoyan poghots,"(40.143156901946895, 44.51785687797419)"
Նոր Արեշի 5-րդ փողոց,Nor Areshi 5-rd poghots,"(40.1470259, 44.51871065)"
Աթոյան փողոց,Atoyan poghots,"(40.147863, 44.5182766)"
Աթոյան փողոց,Atoyan poghots,"(40.14694395, 44.51819465)"
Նոր Արեշի 5-րդ փողոց,Nor Areshi 5-rd poghots,"(40.14710734091437, 44.51710757581498)"
Նոր Արեշի 3-րդ փողոց,Nor Areshi 3-rd poghots,"(40.1486467, 44.51885315)"
Աթոյան փողոց,Atoyan poghots,"(40.1491077, 44.5183876)"
Աթոյան փողոց,Atoyan poghots,"(40.147863, 44.5182766)"
Նոր Արեշի 3-րդ փողոց,Nor Areshi 3-rd poghots,"(40.14873005510912, 44.517235150263026)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.14191955, 44.521949649999996)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.14294905344573, 44.522038261036805)"
Էրեբունու փողոց,Erebownow poghots,"(40.14211904833304, 44.519865957697945)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.14560199915478, 44.52228390914894)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.14470447012925, 44.52220384711148)"
Նոր Արեշի 20-րդ փողոց նրբանցք,Nor Areshi 20-rd poghots nrbantsk,"(40.14548732513756, 44.52288910141239)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.155209272104166, 44.52251551525985)"
Որմնադիրների 2-րդ նրբանցք,Ormnadirneri 2-rd nrbantsk,"(40.15563282040077, 44.524441765440635)"
Ազատամարտիկների փողոց,Azatamartikneri poghots,"(40.154774247491396, 44.52313977604645)"
Խաչիկ Դաշտենցի փողոց,Khachik Dashtentsi poghots,"(40.14020386819665, 44.53562628250056)"
"['Խաչիկ Դաշտենցի փողոց', 'Էրեբունի հրապարակ']","['Khachik Dashtentsi poghots', 'Erebowni hraparak']","(40.14084912833237, 44.53456566220956)"
Սոֆիայի փողոց,Sofiayi poghots,"(40.14274225537741, 44.52592718622461)"
Էրեբունու փողոց,Erebownow poghots,"(40.14184083192638, 44.525184256462936)"
"['ՏԷՑ-ի խճուղի', 'Արին Բերդի փողոց']","['TETs-i khchowghi', 'Arin Berdi poghots']","(40.122364602456386, 44.53218747390706)"
"['Նուբարաշենի խճուղի', 'Նուբարաշեն 6-րդ փողոց']","['Nowbarasheni khchowghi', 'Nowbarashen 6-rd poghots']","(40.114266542656765, 44.549051206155205)"
Խաչիկ Դաշտենցի փողոց,Khachik Dashtentsi poghots,"(40.13476216847822, 44.537196224049566)"
Խաղաղ Դոնի փողոց,Khaghagh Doni poghots,"(40.128877761326684, 44.53061570081314)"
Նոր Արեշի 41-րդ փողոց,Nor Areshi 41-rd poghots,"(40.137619900000004, 44.53693515)"
Խաչիկ Դաշտենցի փողոց,Khachik Dashtentsi poghots,"(40.13746985, 44.537580500000004)"
Խաչիկ Դաշտենցի փողոց,Khachik Dashtentsi poghots,"(40.13890369044093, 44.53662041461313)"
"['Խաղաղ Դոնի փողոց', 'Արին Բերդի փողոց 5-րդ նրբանցք']","['Khaghagh Doni poghots', 'Arin Berdi poghots 5-rd nrbantsk']","(40.12796007662795, 44.51758200191831)"
Արին Բերդի փողոց 3-րդ նրբանցք,Arin Berdi poghots 3-rd nrbantsk,"(40.12669231719304, 44.51588465630778)"
Արին Բերդի փողոց 3-րդ նրբանցք,Arin Berdi poghots 3-rd nrbantsk,"(40.13054548831319, 44.516043700055384)"
Տիտոգրադյան փողոց,Titogradyan poghots,"(40.12934367007898, 44.52446144540635)"
Խաղաղ Դոնի փողոց,Khaghagh Doni poghots,"(40.12938141596673, 44.52128284441436)"
Խաղաղ Դոնի փողոց,Khaghagh Doni poghots,"(40.128877761326684, 44.53061570081314)"
Նորագավիթ 12-րդ փողոց,Noragavit 12-rd poghots,"(40.115817899999996, 44.47297005)"
Նորագավիթ 12-րդ փողոց,Noragavit 12-rd poghots,"(40.116081449999996, 44.471578)"
Նորագավիթ 1-ին փողոց,Noragavit 1-in poghots,"(40.11670793616761, 44.47237212775758)"
Նորագավիթ 1-ին փողոց,Noragavit 1-in poghots,"(40.11493472104642, 44.471811792498244)"
Նորագավիթ 1-ին փողոց,Noragavit 1-in poghots,"(40.11841365156576, 44.472378949420275)"
Նորագավիթ 1-ին փողոց,Noragavit 1-in poghots,"(40.11670793616761, 44.47237212775758)"
Նորագավիթ 7-րդ փողոց,Noragavit 7-rd poghots,"(40.117791402461826, 44.473104711046666)"
Նաիրիտ-Նորագավիթ խճուղի,Nairit-Noragavit khchowghi,"(40.13134438351489, 44.49026065559467)"
Արտաշատի խճուղի,Artashati khchowghi,"(40.12570455397891, 44.495630473960944)"
Արտաշատի խճուղի,Artashati khchowghi,"(40.125544815119895, 44.48903974715933)"
Արտաշատի խճուղի,Artashati khchowghi,"(40.1258712422702, 44.502090464523654)"
Արտաշատի խճուղի,Artashati khchowghi,"(40.12570455397891, 44.495630473960944)"
Արտաշատի խճուղի 1-ին նրբանցք,Artashati khchowghi 1-in nrbantsk,"(40.121944435193605, 44.50035810181324)"
Արին Բերդի փողոց,Arin Berdi poghots,"(40.12324565, 44.52131435)"
Արին Բերդի փողոց,Arin Berdi poghots,"(40.1235882372396, 44.51806792185942)"
Արին Բերդի փողոց 4-րդ նրբանցք,Arin Berdi poghots 4-rd nrbantsk,"(40.12095703954504, 44.5201463007492)"
Արցախի պողոտա,Artsakhi poghota,"(40.1175529, 44.5085986)"
Արցախի պողոտա 4-րդ նրբանցք,Artsakhi poghota 4-rd nrbantsk,"(40.11176540803313, 44.49937710401587)"
Արցախի պողոտա,Artsakhi poghota,"(40.11486522793719, 44.50836435465525)"
Արցախի պողոտա,Artsakhi poghota,"(40.1175529, 44.5085986)"
Թեյշեբաինի փողոց,Teyshebaini poghots,"(40.11913980462135, 44.51048100272824)"
Թեյշեբաինի փողոց,Teyshebaini poghots,"(40.11938284799387, 44.50458845306569)"
Արցախի պողոտա,Artsakhi poghota,"(40.121705727693296, 44.50896757227452)"
Մասիսի փողոց 3-րդ նրբանցք,Masisi poghots 3-rd nrbantsk,"(40.1377085, 44.500186049999996)"
Մասիսի փողոց 3-րդ նրբանցք,Masisi poghots 3-rd nrbantsk,"(40.13733675, 44.4996547)"
Թամանցիների փողոց,Tamantsineri poghots,"(40.140049746917455, 44.498155942281784)"
Ֆրունզեի փողոց,Frownzei poghots,"(40.14266129281008, 44.494928383472846)"
Բագրատունյաց պողոտա,Bagratownyats poghota,"(40.142743286128734, 44.494571589824545)"
Աշխատանքի հրապարակ,Ashkhatanki hraparak,"(40.14186054603025, 44.495616889107325)"
Թամանցիների փողոց,Tamantsineri poghots,"(40.13998835502778, 44.49800916693933)"
Աշխատանքի հրապարակ,Ashkhatanki hraparak,"(40.142244155473335, 44.49517134488919)"
Բագրատունյաց պողոտա,Bagratownyats poghota,"(40.14239053153726, 44.49509899648814)"
Արշակունյաց պողոտա,Arshakownyats poghota,"(40.143117734682924, 44.496781792449426)"
Աշխատանքի հրապարակ,Ashkhatanki hraparak,"(40.14224195987292, 44.495636943864426)"
Մասիսի փողոց,Masisi poghots,"(40.14453135, 44.497205699999995)"
Արշակունյաց պողոտա,Arshakownyats poghota,"(40.143189310051596, 44.49656735572243)"
Բագրատունյաց պողոտա,Bagratownyats poghota,"(40.14988477550598, 44.484894508958995)"
Գարեգին Նժդեհի հրապարակ,Garegin Nzhdehi hraparak,"(40.15066923296988, 44.48391940382059)"
Եղբայրության փողոց,Eghbayrowtyan poghots,"(40.15068383579822, 44.48124253515843)"
"['Ազատության պողոտա', 'Սարալանջի փողոց']","['Azatowtyan poghota', 'Saralanji poghots']","(40.19316458713734, 44.52117475797027)"
Շարիմանյան փողոց,Sharimanyan poghots,"(40.19121096977907, 44.528800859773696)"
Խաչատուր Աբովյանի հրապարակ,Khachatowr Abovyani hraparak,"(40.19151032634295, 44.52850768958438)"
Աբովյան փողոց,Abovyan poghots,"(40.19166333715682, 44.52937773333031)"
Խաչատուր Աբովյանի հրապարակ,Khachatowr Abovyani hraparak,"(40.191681481599275, 44.528526862666844)"
Շարիմանյան փողոց,Sharimanyan poghots,"(40.19067837895449, 44.52920174085266)"
Շարիմանյան փողոց,Sharimanyan poghots,"(40.19121096977907, 44.528800859773696)"
Հանրապետության փողոց,Hanrapetowtyan poghots,"(40.176487605499524, 44.51560414005367)"
Փավստոս Բուզանդի փողոց,Pavstos Bowzandi poghots,"(40.17649429618618, 44.51678917713187)"
Փավստոս Բուզանդի փողոց,Pavstos Bowzandi poghots,"(40.17710333523337, 44.515968976291504)"
Փարպեցու փողոց,Parpetsow poghots,"(40.18645225816211, 44.512115310889925)"
Թումանյան փողոց,Towmanyan poghots,"(40.18695048094153, 44.51113485236509)"
Փարպեցու փողոց,Parpetsow poghots,"(40.185977340992125, 44.51155996819407)"
Թումանյան փողոց,Towmanyan poghots,"(40.18593722934103, 44.51255342372841)"
Ստեփան Զորյանի փողոց,Stepan Zoryani poghots,"(40.18637846700039, 44.51381102539416)"
Ստեփան Զորյանի փողոց,Stepan Zoryani poghots,"(40.18744762823931, 44.513768660828)"
Ալեքսանդր Սպենդիարյանի փողոց,Aleksandr Spendiaryani poghots,"(40.18654267248054, 44.51295609897683)"
Ալեքսանդր Սպենդիարյանի փողոց,Aleksandr Spendiaryani poghots,"(40.18654267248054, 44.51295609897683)"
Փարպեցու փողոց,Parpetsow poghots,"(40.18645225816211, 44.512115310889925)"
Պուշկինի փողոց,Powshkini poghots,"(40.183313571671, 44.51181945133735)"
Մեսրոպ Մաշտոցի պողոտա,Mesrop Mashtotsi poghota,"(40.184615500814346, 44.512196732967716)"
Հանրապետության փողոց,Hanrapetowtyan poghots,"(40.17897156897039, 44.52142205503827)"
Թումանյան փողոց,Towmanyan poghots,"(40.17968089381962, 44.52128844575395)"
Թումանյան փողոց,Towmanyan poghots,"(40.1788655321913, 44.52245083038075)"
Շիրվանզադեի փողոց,Shirvanzadei poghots,"(40.207567201237154, 44.52515051916544)"
Կոմիտասի պողոտա,Komitasi poghota,"(40.20625843913501, 44.52473536231635)"
Թբիլիսյան խճուղի,Tbilisyan khchowghi,"(40.235382727697626, 44.55757847218134)"
Թբիլիսյան խճուղի,Tbilisyan khchowghi,"(40.23672399360175, 44.56285920471628)"
Թբիլիսյան խճուղի,Tbilisyan khchowghi,"(40.23672399360175, 44.56285920471628)"
Մեսրոպ Մաշտոցի փողոց,Mesrop Mashtotsi poghots,"(40.23311715, 44.558577650000004)"
Հրաչյա Աճառյան փողոց,Hrachya Acharhyan poghots,"(40.22943922342608, 44.557489386767244)"
Հովնաթանի փողոց,Hovnatani poghots,"(40.17621873041691, 44.455653992018334)"
Սեբաստիայի փողոց,Sebastiayi poghots,"(40.17534841784899, 44.457979422619005)"
Մալաթիայի փողոց,Malatiayi poghots,"(40.1743479, 44.4577036)"
Մալաթիայի փողոց,Malatiayi poghots,"(40.17459324905631, 44.45647010229782)"
Սեբաստիայի փողոց,Sebastiayi poghots,"(40.17415365683807, 44.45757853089285)"
Եղվարդի խճուղի,Eghvardi khchowghi,"(40.22465595809995, 44.5068186755836)"
Եղվարդի խճուղի,Eghvardi khchowghi,"(40.223574073202265, 44.50529494904994)"
Նար-Դոսի փողոց,Nar-Dosi poghots,"(40.1665053, 44.519025299999996)"
Ռոստոմի փողոց,Rhostomi poghots,"(40.166993360178346, 44.51811462379455)"
Նար-Դոսի փողոց,Nar-Dosi poghots,"(40.16621630400866, 44.51781351111869)"
Ռոստոմի փողոց,Rhostomi poghots,"(40.16541721857732, 44.51878444514944)"
Քրիստափորի փողոց,Kristapori poghots,"(40.1642833, 44.51841535)"
Քրիստափորի փողոց,Kristapori poghots,"(40.1646103, 44.519791)"
Քրիստափորի փողոց 2-րդ նրբանցք,Kristapori poghots 2-rd nrbantsk,"(40.16418595530226, 44.51991780896223)"
Ռոստոմի փողոց,Rhostomi poghots,"(40.16349278450184, 44.51954416765173)"
Ռոստոմի փողոց,Rhostomi poghots,"(40.16541721857732, 44.51878444514944)"
Քրիստափորի փողոց,Kristapori poghots,"(40.1646103, 44.519791)"
